"song","artist","popularity","release_date","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","liveness","valence","tempo","duration_ms","spotify_url"
"close your eyes","Felix Jaehn",0.136363636363636,"2019-11-22","Pop",0.796078431372549,0.822942375791394,1,0.834297963558414,0,0.211917347429121,0.0686791845911639,0.119856130328996,0.515886646629455,0.459930264797726,160794,"https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6"
"happy now","Kygo",0.227272727272728,"2018-10-26","Pop",0.632679738562091,0.556819401223307,0.818181818181818,0.687031082529475,1,0.0678760211436809,0.387548011676174,0.245742092457421,0.485830828681838,0.388955792362735,211362,"https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4"
"remedy","Alesso",0.0454545454545454,"2018-08-31","Pop",0.512418300653595,0.771434703294345,0,0.789324758842444,1,0.028471888515137,0.278736744715089,0.072569554638739,0.476170030055818,0.40271379160657,190295,"https://open.spotify.com/track/6jreFSOTUAViWjKyzOC4Kg"
"better when you're gone","David Guetta",0,"2019-02-08","Pop",0.572549019607843,0.792896233501449,0.0909090909090909,0.834941050375134,0,0.0163382988947621,0.065777550805535,0.178038717867344,0.396736796908544,0.458922045005811,192402,"https://open.spotify.com/track/4Tvw0lweq9l2JPQKFbpbBQ"
"heaven","Avicii",0.181818181818182,"2019-06-06","Pop",0.500653594771242,0.876596201309153,0.818181818181818,0.744823151125402,1,0.00468524747717444,0.0740679330501891,0.129376917380726,0.511592958351224,0.41704591600969,277262,"https://open.spotify.com/track/0vrmHPfoBadXVr2n0m1aqZ"
"darkside","Alan Walker",0,"2018-12-14","Pop",0.288888888888889,0.590084773044318,0.363636363636364,0.767759914255091,0,0.0234262373858722,0.135727650994804,0.162170739447794,0.0897380850150279,0.752958144875583,211680,"https://open.spotify.com/track/6SRWhUJcD2YKahCwHavz3X"
"summer days (feat. macklemore & patrick stump of fall out boy)","Martin Garrix",0.318181818181818,"2019-04-25","Pop",0.590849673202615,0.715634724755875,0.454545454545455,0.687974276527331,0,0.0396444017299375,0.185469944462729,0.127261186924786,0.296908544439674,0.359402349712237,163805,"https://open.spotify.com/track/7Feaw9WAEREY0DUOSXJLOM"
"giant (with rag'n'bone man)","Calvin Harris",0.318181818181818,"2019-01-11","Pop",0.781699346405229,0.891619272454126,0.0909090909090909,0.802229367631297,0,0.0150168188370975,0.0165534062279009,0.0649529249973553,0.608200944611421,0.417073922115021,229184,"https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd"
"without you (feat. sandro cavazza)","Avicii",0.227272727272728,"2017-08-10","Pop",0.592156862745098,0.860500053653826,0.181818181818182,0.779378349410504,1,0.0230658337337818,0.00166180712094092,0.0273987094044219,0.274366680978961,0.500938204528587,181673,"https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL"
"the nights","Avicii",0.181818181818182,"2014-01-01","Pop",0.415686274509804,0.835819293915656,0.545454545454545,0.759914255091104,1,0.0236665064872657,0.01717518489625,0.242568496773511,0.659725203950193,0.444855978603336,176658,"https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc"
"jackie chan","Tiësto",0.136363636363636,"2018-05-18","Pop",0.703267973856209,0.834746217405301,0.272727272727273,0.864137191854234,0,0.025708793849111,0.387548011676174,0.0411509573680313,0.695148132245599,0.459013064848137,215760,"https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp"
"moonlight","Gaullin",0,"2018-09-07","Pop",0.789542483660131,0.756411632149372,0.909090909090909,0.743236870310825,0,0.0737626141278232,0.0547927943313682,0.335660636834867,0.268999570631172,0.437672412585944,173067,"https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW"
"sweet but psycho","Ava Max",0.5,"2018-08-17","Pop",0.666666666666667,0.695246271059127,0.0909090909090909,0.784523043944266,1,0.0288322921672273,0.0715808183767929,0.154765682852005,0.631816230141692,0.493999691932841,187436,"https://open.spotify.com/track/25sgk305KZfyuqVBQIahim"
"high on life (feat. bonn)","Martin Garrix",0.0454545454545454,"2018-07-29","Pop",0.26797385620915,0.461315591801695,0.545454545454545,0.7113397642015,0,0.00901009130225853,0.0133408831080975,0.0965830953136571,0.352726492056677,0.459244115217117,230762,"https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy"
"so am i","Ava Max",0.318181818181818,"2019-03-07","Pop",0.618300653594771,0.643738598562078,0.545454545454545,0.786838156484459,1,0.0239067755886593,0.076347788167469,0.352586480482387,0.609274366680979,0.473604245725568,183027,"https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7"
"bad guy","Billie Eilish",0.863636363636364,"2019-03-29","Pop",0.643137254901961,0.395857924670029,0.636363636363636,0.516956055734191,1,0.422152811148486,0.339878313769413,0.0849465778059875,0.56097037355088,0.508884936916248,194088,"https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m"
"no brainer","DJ Khaled",0.0454545454545454,"2018-07-27","Pop",0.448366013071896,0.755338555639017,0,0.78529474812433,1,0.382508409418549,0.0759332690552363,0.0706653972283931,0.643623872906827,0.512903813031241,260000,"https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8"
"in the name of love","Martin Garrix",0.181818181818182,"2016-07-29","Pop",0.381699346405229,0.496727116643417,0.363636363636364,0.734962486602358,0,0.020783277270543,0.112929099822005,0.459430868507352,0.138042078145127,0.500917199949589,195707,"https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S"
"hip","Mamamoo",0.227272727272728,"2019-11-14","Pop",0.749019607843137,0.724219336838717,0.272727272727273,0.790653804930332,0,0.143440653531956,0.0389374382884672,0.0802919708029197,0.842206955775011,0.529217369386526,195307,"https://open.spotify.com/track/24nK8tW7Pt3Inh2utttuoG"
"boy with luv (feat. halsey)","BTS",0.409090909090909,"2019-04-12","Pop",0.569934640522876,0.864792359695246,1,0.783108252947481,0,0.0875780874579529,0.0956229268862899,0.182270178779224,0.814297981966509,0.402902832817554,229773,"https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c"
"a sky full of stars","Coldplay",0.0909090909090908,"2014-05-19","Pop",0.447058823529412,0.622277068354974,0.545454545454545,0.681586280814577,1,0.00540605478135512,0.00736144491414066,0.208716809478472,0.12194074710176,0.437945472112921,268467,"https://open.spotify.com/track/0FDzzruyVECATHXKHFs9eJ"
"my way","Calvin Harris",0.0454545454545454,"2016-09-16","Pop",0.797385620915033,0.919519261723361,0.363636363636364,0.855905680600214,0,0.0229456991830851,0.0968664842229881,0.149476356712155,0.533061399742379,0.402888829764889,219160,"https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm"
"counting stars","OneRepublic",0.181818181818182,"2013-01-01","Pop",0.594771241830065,0.696319347569482,0.0909090909090909,0.773890675241157,0,0.0175396444017299,0.0677465165886404,0.103988151909447,0.469729497638471,0.417080923641354,257267,"https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1"
"alone, pt. ii","Alan Walker",0.409090909090909,"2019-12-27","Pop",0.602614379084967,0.65661551668634,0.272727272727273,0.802443729903537,0,0.0223450264296012,0.555428252130421,0.119856130328996,0.610347788750537,0.179148054275832,179053,"https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3"
"family","The Chainsmokers",0.409090909090909,"2019-12-06","Pop",0.490196078431373,0.591157849554673,1,0.703879957127545,1,0.0144161460836136,0.441435496266426,0.0860044430339575,0.359167024474023,0.387681514570176,194827,"https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL"
"we got love","Sigala",0,"2019-11-01","Pop",0.670588235294118,0.811138534177487,0.818181818181818,0.843344051446945,0,0.0826525708793849,0.0212167462405189,0.117740399873056,0.662945470158867,0.437336339321972,213041,"https://open.spotify.com/track/35mMXfym6C9VOTUVrcKKZp"
"narcotic","Younotus",0.0454545454545454,"2019-04-26","Pop",0.705882352941176,0.65661551668634,0.909090909090909,0.731361200428724,0,0.0446900528592023,0.0386265489542926,0.0267639902676399,0.350579647917561,0.318947530561662,192387,"https://open.spotify.com/track/7M9w4C8WenlvWfNRAulZOX"
"on my way","Alan Walker",0.318181818181818,"2019-03-21","Pop",0.392156862745098,0.679150123403799,0.0909090909090909,0.775734190782422,0,0.0941854877462758,0.0216312653527516,0.297577488627949,0.276513525118076,0.753651295982524,193798,"https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq"
"i can’t get enough (benny blanco, selena gomez, j balvin, tainy)","benny blanco",0.136363636363636,"2019-02-28","Pop",0.433986928104575,0.442000214615302,0.909090909090909,0.813890675241157,0,0.406535319557905,0.418636945093627,0.357875806622236,0.698368398454272,0.229790094240545,158027,"https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt"
"dancing with a stranger (with normani)","Sam Smith",0.5,"2019-01-11","Pop",0.695424836601307,0.497800193153772,0.727272727272727,0.664951768488746,1,0.0504565112926478,0.466306643000389,0.214006135618322,0.330184628595964,0.283925895845294,171030,"https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki"
"play","K-391",0.0909090909090908,"2019-08-30","Pop",0.406535947712418,0.796115463032514,0.545454545454545,0.751339764201501,0,0.018620855358001,0.104638717577351,0.0777530942557918,0.138042078145127,0.276546287090586,167977,"https://open.spotify.com/track/4jp4Z02kzzg8gK0NmDGgml"
"say my name","David Guetta",0.0909090909090908,"2018-09-14","Pop",0.645751633986928,0.648030904603498,0.909090909090909,0.767588424437299,0,0.1194137433926,0.141945437678295,0.182270178779224,0.805710605410047,0.22814473555235,198947,"https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6"
"cheerleader - felix jaehn remix radio edit","OMI",0,"2015-10-16","Pop",0.749019607843137,0.674857817362378,0.363636363636364,0.719657020364416,1,0.00876982220086497,0.171998073315166,0.148418491484185,0.604980678402748,0.389074818310392,180566,"https://open.spotify.com/track/7vFoFDWqTX0mHzLfrF1Cfy"
"never forget you","Zara Larsson",0,"2017-03-17","Pop",0.488888888888889,0.725292413349072,1,0.741479099678457,0,0.0265497357039885,0.00320589081400776,0.26372580133291,0.253971661657364,0.584949518995141,213428,"https://open.spotify.com/track/6hmhG1b4LEyNuashVvuIAo"
"feels (feat. pharrell williams, katy perry & big sean)","Calvin Harris",0,"2017-06-30","Pop",0.894117647058824,0.739242407983689,1,0.853933547695605,0,0.0402450744834214,0.0665029592519422,0.0789167460065588,0.893731215113783,0.270062873706468,223413,"https://open.spotify.com/track/5bcTCxgc7xVfSaMV3RuVke"
"get lucky (feat. pharrell williams & nile rodgers) - radio edit","Daft Punk",0,"2013-04-19","Pop",0.764705882352941,0.810065457667132,0.545454545454545,0.602658092175777,0,0.0172993753003364,0.044118927191376,0.0860044430339575,0.882996994418205,0.375288812961226,248413,"https://open.spotify.com/track/2Foc5Q5nqNiosCNqttzHof"
"baianá","Bakermat",0,"2019-11-08","Pop",0.376470588235294,0.749973173087241,0.181818181818182,0.689174705251876,0,0.0313551177318597,0.00069805018499988,0.328255580239078,0.486904250751395,0.416051699270441,182187,"https://open.spotify.com/track/430efk5Jc5wGay4EWP4snS"
"ride it","Regard",0.818181818181818,"2019-07-26","Pop",0.877124183006536,0.74568086704582,0.636363636363636,0.804501607717042,0,0.0766458433445459,0.183397348901566,0.0912937691738073,0.906612279948476,0.388598714519765,157606,"https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ"
"motivation","Normani",0.318181818181818,"2019-08-16","Pop",0.509803921568627,0.891619272454126,0.363636363636364,0.816977491961415,1,0.0898606439211917,0.0198695591257626,0.296519623399979,0.903392013739802,0.759469564365032,193837,"https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm"
"one thing right","Marshmello",0.409090909090909,"2019-06-21","Pop",0.588235294117647,0.608327073720356,0.363636363636364,0.890460878885316,1,0.0258289283998078,0.0690937037033966,0.594837617687507,0.428939458995277,0.179211068012827,181824,"https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4"
"tusa","KAROL G",1,"2019-11-07","Pop",0.776470588235294,0.707050112673034,0.181818181818182,0.846430868167202,1,0.329649207111965,0.305680487010215,0.0398815190944674,0.573851438385573,0.270531975970762,200960,"https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY"
"+","Aitana",0.227272727272728,"2019-12-17","Pop",0.460130718954248,0.654469363665629,0.727272727272727,0.805144694533762,1,0.0103315713599231,0.10982020648026,0.109277478049297,0.682267067410906,0.683159928864493,219367,"https://open.spotify.com/track/5Cbo7oz78gqkzV3EAM63VA"
"everything i wanted","Billie Eilish",0.954545454545455,"2019-11-13","Pop",0.647058823529412,0.181242622598991,0.545454545454545,0.367374062165059,0,0.0910619894281595,0.934713239823349,0.0912937691738073,0.218548733361958,0.403007855712545,245426,"https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ"
"alocao (with bad gyal)","Omar Montes",0.272727272727273,"2019-10-24","Pop",0.606535947712418,0.746753943556176,1,0.785337620578778,0,0.0397645362806343,0.221740366783091,0.0912937691738073,0.708029197080292,0.809089381485164,209320,"https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI"
"morado","J Balvin",0.272727272727273,"2020-01-09","Pop",0.87843137254902,0.686661658976285,1,0.822508038585209,0,0.0673954829408938,0.141945437678295,0.0772241616418068,0.796049806784027,0.241944743954182,200667,"https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks"
"yummy","Justin Bieber",0.863636363636364,"2020-01-03","Pop",0.592156862745098,0.496727116643417,0.818181818181818,0.706066452304394,0,0.098990869774147,0.418636945093627,0.107161747593357,0.489051094890511,0.583892288518897,210427,"https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l"
"que tire pa lante","Daddy Yankee",0.636363636363636,"2019-10-18","Pop",0.586928104575164,0.906642343599099,0.636363636363636,0.866409431939978,1,0.0145362806343104,0.0495076756504012,0.106103882365387,0.717689995706312,0.220779129850307,210520,"https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1"
"you should be sad","Halsey",0.454545454545455,"2020-01-10","Pop",0.499346405228758,0.567550166326859,0.181818181818182,0.71481243301179,1,0.00492551657856799,0.148163224361786,0.0944673648577171,0.305495920996136,0.33953201797992,205473,"https://open.spotify.com/track/2usxQITOSDqvkYiI0oIwao"
"indeciso","Reik",0.545454545454545,"2019-08-23","Pop",0.691503267973856,0.742461637514755,0,0.776891747052519,1,0.0260691975012013,0.188578837804475,0.0955252300856871,0.919493344783169,0.227570610393066,217253,"https://open.spotify.com/track/59s0s39NFWScuHDbHytI14"
"zorra","Bad Gyal",0.0454545454545454,"2019-12-12","Pop",0.559477124183007,0.637300139499946,1,0.702122186495177,1,0.195098510331571,0.706727728095359,0.0623082619274305,0.747745813653929,0.795576435662974,186120,"https://open.spotify.com/track/0OP1RzrglC008kj79Httv3"
"loco contigo (with j. balvin & ozuna feat. nicky jam, natti natasha, darell & sech) - remix","DJ Snake",0.181818181818182,"2019-12-27","Pop",0.758169934640523,0.684515505955575,0.545454545454545,0.739206859592712,0,0.0592263334935127,0.101737083791722,0.0809266899397017,0.547015886646629,0.235174267990422,341875,"https://open.spotify.com/track/5QXQy0f2q8wJNpPwJtjifx"
"china","Anuel AA",0.772727272727273,"2019-07-19","Pop",0.754248366013072,0.806846228136066,0.636363636363636,0.828338692390139,1,0.0776069197501201,0.0876434339758103,0.0661165767481223,0.611421210820094,0.298131992774425,301714,"https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK"
"easy - remix","Jhay Cortez",0.227272727272728,"2019-11-19","Pop",0.884967320261438,0.746753943556176,0.0909090909090909,0.823322615219721,0,0.0856559346468044,0.197905517829711,0.133608378292606,0.424645770717046,0.221388262641256,220147,"https://open.spotify.com/track/0Cn8NxJZz7zUlsaA3rXoIU"
"godzilla (feat. juice wrld)","Eminem",0.136363636363636,"2020-01-17","Pop",0.783006535947713,0.739242407983689,0.909090909090909,0.761543408360129,0,0.382508409418549,0.150235819922949,0.288056701576219,0.8475740661228,0.72500105022895,210800,"https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ"
"adicto (with anuel aa & ozuna)","Tainy",0.636363636363636,"2019-08-22","Pop",0.686274509803922,0.836892370426012,0.909090909090909,0.781136120042872,0,0.0599471407976934,0.0175897040084827,0.168517930815614,0.626449119793903,0.122918796297593,270741,"https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq"
